,WineName,Winery,Country,Rating,NumberOfRatings,Price
153,საფერავი (Saperavi) 2017,Vazisubani Estate (ვაზისუბნის მამული),Georgia,3.9,97 ratings,23.99
154,Alceo Tempranillo 2017,Familia Bastida,Spain,3.9,95 ratings,18.52
155,Pinot Noir 2017,Andreas Bender,Germany,3.9,90 ratings,24.99
156,Night Moves Gamay Noir 2017,Rosewood Estates,Canada,3.9,88 ratings,27.6
157,Oinos Montepulciano d'Abruzzo Colline Teramane 2011,San Lorenzo,Italy,3.9,85 ratings,23.37
158,Le Combal Cahors 2016,Cosse Maisonneuve,France,3.9,84 ratings,20.15
159,Terra Barossa Cabernet Sauvignon 2015,Thorn-Clarke,Australia,3.9,82 ratings,17.25
160,Cabernet Sauvignon 2016,Hoopla,United States,3.9,79 ratings,23.19
161,Sileno Ciliegiolo 2015,Sator,Italy,3.9,78 ratings,22.15
162,Cabernet Franc 2017,Featherstone Estate,Canada,3.9,76 ratings,20.15
163,Anel Reserva 2017,Marcio Lopes,Portugal,3.9,75 ratings,15.28
164,Plansel Selecta 2018,Quinta da Plansel,Portugal,3.9,75 ratings,19.99
165,Pinot Noir 2016,Cedar Creek Estate Winery,Canada,3.9,69 ratings,23.0
166,Crianza 2016,Ortega Ezquerro,Spain,3.9,70 ratings,24.99
167,Tramonti Costa d'Amalfi Rosso 2017,Tenuta San Francesco,Italy,3.9,68 ratings,22.91
168,Generation Bordeaux Supérieur 2015,Château Le Grand Verdus,France,3.9,67 ratings,24.95
169,Bordeaux Supérieur Merlot 2015,Domaine Émile Grelier,France,3.9,62 ratings,15.26
170,Dolomite Cabernet Franc 2017,Cave Spring,Canada,3.9,60 ratings,24.95
171,Caccia al Palazzo Bolgheri Rosso 2018,Tenuta Di Vaira,Italy,3.9,60 ratings,22.91
172,Montescudaio 2017,Sator,Italy,3.9,58 ratings,13.6
173,Douro Dourosa Red 2017,Quinta de La Rosa,Portugal,3.9,58 ratings,19.95
174,Chianti Colli Fiorentini 2014,Ottomani,Italy,3.9,56 ratings,16.65
175,Canaiolo 2015,Vallone di Cecione,Italy,3.9,52 ratings,22.76
176,Old Vine Garnacha 2017,Las Carlinas,Spain,3.9,52 ratings,18.99
177,Phone Box Red 2017,Luckett Vineyards,Canada,3.9,51 ratings,24.0
178,Shiraz 2016,Kingston,Australia,3.9,45 ratings,20.78
179,Etna Rosso 2017,Benanti,Italy,3.9,40 ratings,21.39
180,Les Polissons Malbec de Cahors 2018,Clos d'Audhuy,France,3.9,35 ratings,17.11
181,Valpolicella Ripasso Classico Superiore 2012,Corte Archi,Italy,3.9,35 ratings,20.32
182,The Looking Glass 2017,Rosewood Estates,Canada,3.9,33 ratings,20.2
183,Mina Velha Reserva 2015,Quinta de São Sebastião,Portugal,3.9,32 ratings,19.99
