,WineName,Winery,Country,Rating,NumberOfRatings,Price
650,Morellino di Scansano 2018,Roccapesta,Italy,3.6,26 ratings,23.68
651,Gricos 2016,Grifalco,Italy,3.6,37 ratings,20.93
652,Le Tithonien Mondeuse 2018,Domaine de l'Idylle,France,3.6,36 ratings,24.49
653,Valderroa Mencia 2017,Valdesil,Spain,3.6,35 ratings,21.39
654,Òtre Primitivo 2018,Teanum,Italy,3.6,36 ratings,13.6
655,Champs de la Truffière 2013,Domaine du Deffends,France,3.6,35 ratings,23.68
656,Black Sheep Blend 2015,Young & Wyse Collection,Canada,3.6,34 ratings,25.9
657,Amaranto Sangiovese 2018,Podere San Cristoforo,Italy,3.6,32 ratings,18.18
658,Santa Marta Montecucco Sangiovese 2016,Salustri,Italy,3.6,32 ratings,23.37
659,Stickleback Red 2017,Heartland,Australia,3.6,31 ratings,17.99
660,Pinot Nero 2018,Sacchetto,Italy,3.6,31 ratings,19.91
661,Cabernet Sauvignon (Classic) 2018,Montes,Chile,3.6,28 ratings,15.99
662,Côtes du Rhône 2018,Domaine de la Charbonnière,France,3.6,29 ratings,24.95
663,Côtes du Rhône 2015,Biodynamic Wine - Domaine des Carabiniers,France,3.6,28 ratings,13.6
664,Frappato 2014,Poggio di Bortolone,Italy,3.6,28 ratings,13.44
665,Chianti Classico 2017,Ormanni,Italy,3.6,27 ratings,18.48
666,Chianti Classico Riserva 2014,Bibbiano,Italy,3.6,25 ratings,20.62
667,Grenache - Shiraz 2016,Thorn-Clarke,Australia,3.6,37 ratings,17.95
668,Classic Red Blend 2017,Roodeberg,South Africa,3.6,1830 ratings,11.75
669,Coastal Estates Cabernet Sauvignon 2016,Beaulieu Vineyard (BV),United States,3.5,1549 ratings,18.17
670,Five Vineyards Pinot Noir N.V.,Mission Hill Family Estate,Canada,3.5,1224 ratings,20.99
671,Légende (R) Bordeaux Rouge 2016,Barons de Rothschild (Lafite),France,3.5,1183 ratings,20.5
672,Altas Cumbres Malbec 2016,Lagarde,Argentina,3.5,1039 ratings,24.26
673,Cabernet Sauvignon (CAB) 2017,Avalon,United States,3.5,925 ratings,19.75
674,Porcupine Ridge Syrah 2017,Boekenhoutskloof,South Africa,3.5,808 ratings,15.0
675,Cabernet Sauvignon 2017,Smoking Loon,United States,3.5,799 ratings,17.3
676,Bordeaux Supérieur 2016,Château de Camarsac,France,3.5,737 ratings,22.99
677,Montepulciano d'Abruzzo Riparosso 2017,Illuminati,Italy,3.5,647 ratings,23.39
678,Aulente Rosso 2016,San Patrignano,Italy,3.5,591 ratings,11.61
679,Baga Casta Tinto N.V.,Luis Pato,Portugal,3.5,589 ratings,15.75
680,Malbec 2019,Circus,Argentina,3.5,580 ratings,18.17
681,Bordeaux Supérieur 2016,Château Le Grand Verdus,France,3.5,567 ratings,20.99
682,Sabazio 2014,La Braccesca,Italy,3.5,531 ratings,17.25
683,Pinot Noir 2014,The Pinot Project,United States,3.5,524 ratings,19.95
684,Pinot Noir 2016,Veramonte,Chile,3.5,490 ratings,18.95
685,Clásico Garnacha 2017,Anciano,Spain,3.5,453 ratings,14.7
686,Reserva Merlot (Colchagua Estate) 2016,Santa Carolina,Chile,3.5,439 ratings,12.75
687,Chianti 2015,Placido,Italy,3.5,438 ratings,16.43
688,Pinot Noir 2018,Kim Crawford,New Zealand,3.5,436 ratings,18.48
689,Milton Park Shiraz 2016,Thorn-Clarke,Australia,3.5,422 ratings,19.04
690,Cabernet Sauvignon N.V.,Brownstone,United States,3.5,408 ratings,17.95
691,Tama Vineyard Selection Cabernet Sauvignon 2015,Anakena,Chile,3.5,378 ratings,13.0
692,Chianti Riserva 2013,Rocca delle Macìe,Italy,3.5,372 ratings,23.0
693,Cabernet - Merlot 2016,Red Rooster,Canada,3.5,355 ratings,18.25
694,Old Vine Monastrell 2016,Finca Rosal,Spain,3.5,350 ratings,20.95
695,Leccioni Chianti 2018,Frescobaldi,Italy,3.5,292 ratings,19.04
696,Chianti 2018,Castello di Querceto,Italy,3.5,286 ratings,16.95
697,Côtes du Rhône 2011,Domaine du Mistral,France,3.5,256 ratings,20.01
698,Shiraz 2017,Robertson Winery,South Africa,3.5,218 ratings,11.75
699,Contraste Tinto 2014,Conceito,Portugal,3.5,213 ratings,16.65
700,Bonavita Tinto 2017,Casa Santos Lima,Portugal,3.5,202 ratings,16.99
701,Garnacha 2015,Marques de la Musa,Spain,3.5,194 ratings,17.49
702,Valpolicella Classico 2015,Ca La Bionda,Italy,3.5,191 ratings,21.75
703,Cantagallo Chianti Montalbano 2017,Pierazzuoli,Italy,3.5,188 ratings,11.46
704,Cabernet Sauvignon (Classic) 2017,Montes,Chile,3.5,179 ratings,21.21
705,Petit Pinotage 2019,Ken Forrester,South Africa,3.5,174 ratings,20.99
706,The High Trellis Cabernet Sauvignon 2016,d'Arenberg,Australia,3.5,173 ratings,22.99
707,Grenache 2017,Le Paradou,France,3.5,170 ratings,19.04
708,Ora 2016,San Patrignano,Italy,3.5,167 ratings,15.43
709,Vigna di Pallino Chianti 2016,Tenuta Sette Ponti,Italy,3.5,166 ratings,13.14
710,Le Jaja de Jau Syrah 2018,Château de Jau,France,3.5,167 ratings,13.25
711,Merlot N.V.,Brownstone,United States,3.5,162 ratings,17.95
712,Valpolicella Classico 2014,Secondo Marco,Italy,3.5,156 ratings,18.79
713,Sartiu Cannonau di Sardegna 2017,Giuseppe Sedilesu,Italy,3.5,138 ratings,18.18
714,The Custodian Grenache 2016,d'Arenberg,Australia,3.5,133 ratings,24.99
715,Merlot 2017,Wayne Gretzky Estates No. 99,Canada,3.5,125 ratings,15.95
716,Cabernet Sauvignon 2018,Trius,Canada,3.5,123 ratings,16.95
717,Merlot 2017,Errazuriz,Chile,3.5,120 ratings,14.5
718,Single Vineyard Pinot Noir 2018,Yealands,New Zealand,3.4,121 ratings,22.74
719,Five Vineyards Cabernet - Merlot 2017,Mission Hill Family Estate,Canada,3.5,112 ratings,18.99
720,Rosso Melograno 2017,Cantina Roccafiore,Italy,3.5,109 ratings,13.6
721,Solà Fred 2018,Celler Masroig,Spain,3.5,110 ratings,18.99
722,Cabernet Franc 2017,Vineland Estates Winery,Canada,3.5,107 ratings,21.49
723,Merlot 2014,Bliss,United States,3.5,106 ratings,19.99
724,Pinot Noir 2018,Le Fou,France,3.5,103 ratings,18.17
725,Rupicolo Castel del Monte 2017,Rivera,Italy,3.5,96 ratings,16.99
726,I Sodi del Paretaio 2018,Badia di Morrona,Italy,3.5,96 ratings,18.95
727,Boomtown Cabernet Sauvignon 2017,Dusted Valley,United States,3.5,97 ratings,21.0
728,Reserva Merlot 2017,Echeverría,Chile,3.5,95 ratings,15.99
729,Casa Scarpa Barbera d'Asti 2016,Scarpa,Italy,3.5,93 ratings,15.12
730,Explorer Pinot Noir 2017,Domaine Thomson,New Zealand,3.5,90 ratings,23.07
731,Bliss Vineyard Zinfandel 2013,Brutocao Family Vineyards,United States,3.5,90 ratings,19.99
732,Rebel.lia Tinto 2018,Vegalfaro,Spain,3.5,87 ratings,21.99
733,Vintner's Collection Pinot Noir 2018,Sterling Vineyards,United States,3.5,85 ratings,18.99
734,Il Sangiovese Sangiovese Predappio 2018,Noelia Ricci,Italy,3.5,85 ratings,27.49
735,Niagara Estate Reserve Meritage 2017,Jackson-Triggs,Canada,3.5,81 ratings,13.95
736,Cahors 2017,Clos La Coutale,France,3.5,80 ratings,20.99
737,Soplo 2016,Rafael Cambra,Spain,3.5,72 ratings,15.99
738,Tempranillo 2016,Torre de Barreda,Spain,3.5,68 ratings,18.5
739,Primera Amante Malbec 2016,SoloContigo,Argentina,3.5,67 ratings,19.99
740,Pinot Noir 2018,HobNob,France,3.5,64 ratings,19.04
741,Cabernet Sauvignon 2017,Bliss,United States,3.5,64 ratings,19.99
742,Character Red Blend 2018,Hester Creek,Canada,3.5,63 ratings,18.99
743,Montepulciano d'Abruzzo 2016,Valori,Italy,3.5,58 ratings,21.36
744,Cabernet Sauvignon 2017,Gnarled Vine,United States,3.5,54 ratings,16.99
745,Fronsac 2015,Château de Carles,France,3.5,54 ratings,24.0
746,Mencía Joven 2016,Cobertizo,Spain,3.5,53 ratings,16.0
747,Cabernet - Merlot 2017,Red Rooster,Canada,3.5,53 ratings,21.94
748,Bardolino 2015,Le Vigne di San Pietro,Italy,3.5,51 ratings,12.53
749,Garnacha 2017,Real Compania de Vinos,Spain,3.5,53 ratings,15.57
750,Dragon Blend 2010,Persuasion,United States,3.5,49 ratings,24.0
751,Bonarda 2017,Aguijón de Abeja,Argentina,3.5,47 ratings,20.99
752,Tradition Juliénas 2013,Domaine du Clos du Fief (Michel Tete),France,3.5,44 ratings,19.86
753,Cantus Vitis Minervois 2015,Cailhol Gautran,France,3.5,44 ratings,13.6
754,Cabernet Sauvignon 2018,Inniskillin,Canada,3.6,44 ratings,14.99
755,Pinot Noir 2018,Domaine de Bachellery,France,3.5,43 ratings,18.5
756,Chianti Classico 2015,Le Miccine,Italy,3.5,42 ratings,19.71
757,Nanà 2015,Ceraudo,Italy,3.5,41 ratings,17.57
758,Levato di Majulina 2013,Calafata,Italy,3.5,39 ratings,24.75
759,Sangiovese 2018,Podere La Berta,Italy,3.5,39 ratings,21.99
760,Merlot 2015,Cono Sur,Chile,3.5,38 ratings,13.25
761,McLean Creek Road Vineyard Pinot Noir 2018,Meyer Family Vineyards,Canada,3.5,38 ratings,22.0
762,Frappato 2017,Manenti,Italy,3.5,37 ratings,23.22
763,Chianti Colli Senesi (Pancole) 2018,Cesani,Italy,3.5,36 ratings,15.12
764,Rosso 2017,Buondonno,Italy,3.5,36 ratings,13.6
765,Il Corzanello Rosso 2017,Corzano e Paterno,Italy,3.5,35 ratings,16.65
766,Merlot 2017,Delheim,South Africa,3.5,35 ratings,11.01
767,Petit Verdot 2016,Kingston,Australia,3.5,34 ratings,11.5
768,Valle Las Acequias Malbec Clase A 2016,Luis Segundo Correas,Argentina,3.5,34 ratings,19.99
769,Cabernet - Merlot 2012,Tawse,Canada,3.5,31 ratings,21.0
770,Pievi Bolgheri Rosso 2018,Fabio Motta,Italy,3.5,31 ratings,22.15
771,Barbera d'Alba Vignota 2018,Conterno Fantino,Italy,3.5,29 ratings,24.29
772,Vespolina Colline Novaresi 2017,Cà Nova - Codecasa Giada,Italy,3.5,28 ratings,18.41
773,Cinsault 2018,Olivier Coste,France,3.5,28 ratings,22.74
774,Pinot Noir 2019,Henry of Pelham,Canada,3.6,29 ratings,16.95
775,Montecucco Rosso 2016,Campi Nuovi,Italy,3.5,26 ratings,20.01
776,Pinot Noir delle Venezie 2013,Folonari,Italy,3.5,26 ratings,14.99
777,Rosso di Montalcino 2012,Solaria Patrizia Cencioni,Italy,3.5,26 ratings,21.08
778,Cabernet Sauvignon 2018,Angeline,United States,3.5,26 ratings,24.95
779,Campo Arriba Old Vines 2017,Barahonda,Spain,3.6,27 ratings,18.95
780,Cabernet - Merlot 2018,Peninsula Ridge Estates Winery,Canada,3.5,25 ratings,15.95
